concept,category,domain,hit_visual,hit_lexical,far_lexical,far_visual,Energy,JPEG_size,PNWS,H,S,V,layer3,layer6,layer8,coca_frequency,name_agreement,NoF_noTax,CS,MD,CSxD
rubber duck,toys,nonliving,0.666667,NA,0.7,0.14,6,8835,0.5924,0.13933,0.22285,90.0431,0.81831,1.473,1.776,48,0.84,26,0.15268,0.054727299,1.457943632
rug,furniture,nonliving,0.323529,0.448276,0.382352941,0.102040816,47,13219,0.35759,0.1394,0.22261,90.0181,1.123,1.7755,1.8233,4858,0.666666667,42,0.18873,0.091280152,1.920355855
ruler,office tool,nonliving,0.344828,0.703704,0.555555556,0.32,29,5040,0.99522,0.13961,0.22236,90.2327,1.4251,2.3424,2.2646,4150,1,35,0.16462,0.064456007,1.170546682
safe,tool,nonliving,0.571429,0.657143,0.333333333,0.277777778,2,15034,0.70167,0.13984,0.22228,90.2322,0.88393,1.2969,1.6578,1386,0.958333333,35,0.17526,0.092919142,1.895467406
safety goggles,clothing,nonliving,0.346939,0.535714,NA,0.192307692,12,8653,0.39994,0.13984,0.22212,90.2141,0.97686,1.6854,1.8707,34,0.333333333,18,0.1975,0.082370525,1.791880937
safety pin,tool,nonliving,0.551724,0.703704,0.259259259,0.265306122,21,6243,0.18054,0.13972,0.22195,90.1357,1.0252,1.9437,2.0094,100,0.583333333,28,0.17308,0.090482226,1.12587467
sailboat,vehicle,nonliving,0.527273,0.592593,0.454545455,0.318181818,30,13891,0.65517,0.13974,0.22219,90.2169,0.73399,1.3263,1.7805,980,0.25,33,0.12498,0.106144298,1.659410587
sailor hat,clothing,nonliving,0.4,0.366667,NA,0.163265306,5,7057,0.39373,0.13974,0.22198,90.1858,1.1054,1.7143,1.8962,11,0.333333333,28,0.16772,0.085543682,1.770088826
salmon,sea,living,0.533333,0.607143,0.535714286,0.3,9,6700,0.31114,0.13969,0.22172,90.1445,1.155,1.7522,2.0692,8860,0.96,33,0.16444,0.071420103,1.692508199
saltshaker,kitchen items,nonliving,0.666667,0.777778,0.666666667,0.517241379,20,6105,0.44978,0.1398,0.22149,90.1615,1.3131,1.6867,1.6414,49,0.541666667,27,0.17164,0.091696587,1.647280835
sand bucket,toys,nonliving,0.38,0.535714,NA,NA,6,11650,0.67593,0.13993,0.2219,90.2504,0.73508,1.3105,1.56,4,1,25,0.12679,0.072044957,1.975709915
sandal,clothing,nonliving,0.2,0.52,0.464285714,0.206896552,9,11882,0.47156,0.14021,0.22184,90.2157,0.80377,1.4973,1.6613,2232,0.791666667,32,0.14931,0.071272415,1.459281289
sandpaper,tool,nonliving,0.509091,0.384615,0.159090909,0.288888889,6,13041,0.61306,0.14016,0.22204,90.2835,0.96009,1.4743,1.7679,442,0.791666667,35,0.16602,0.114604742,1.784183707
santa claus,holiday,nonliving,0.660714,0.346154,0.204545455,0.204545455,9,8070,0.32568,0.14016,0.22195,90.2588,1.0409,1.7043,2.0168,18907,0.75,42,0.11746,0.062607656,1.218243227
santa hat,holiday,nonliving,0.625,0.444444,0.2,NA,3,6242,0.47106,0.14017,0.22205,90.2844,0.97078,1.7924,2.0752,31,1,32,0.16859,0.084435209,1.941353402
sarcophagus,decorative,nonliving,0.689655,0.307692,0.4,0.326530612,7,10630,0.27866,0.14006,0.22196,90.2273,1.2086,1.5688,1.8826,325,0.583333333,39,0.1554,0.083044159,2.116614908
sardine,food,nonliving,0.62963,0.571429,0.333333333,0.14,3,13717,0.69138,0.14004,0.22222,90.3033,0.93714,1.3884,1.9416,674,0.583333333,36,0.21557,0.110762744,1.777398354
satellite,vehicle,nonliving,0.382353,0.518519,0.484848485,0.32,9,8119,0.24752,0.13998,0.22205,90.2433,1.0935,1.4332,2.0993,12438,0.791666667,35,0.12687,0.083159153,1.690460022
satellite dish,tool,nonliving,0.24,NA,NA,0.085714286,44,11582,0.80692,0.14004,0.22199,90.361,0.93479,1.8281,2.1704,1,0.791666667,58,0.13839,0.090744826,1.946267884
saw blade,tool,nonliving,0.48,0.758621,NA,0.305555556,7,17422,0.78977,0.14,0.22207,90.3881,1.3764,1.4629,2.2275,57,0.217391304,31,0.1771,0.108839646,1.742262491
saxophone,musical instruments,nonliving,0.66,0.571429,0.296296296,0.607142857,13,7965,0.22091,0.13989,0.22194,90.3248,1.2613,1.5892,1.8318,852,0.791666667,33,0.17802,0.056312164,0.788058901
scale,household items,nonliving,0.309524,0.55,0.407407407,0.142857143,13,14154,0.6604,0.13989,0.22177,90.3376,0.93346,1.3217,2.3931,34375,0.916666667,31,0.1155,0.042251813,0.993748553
scales,tool,nonliving,0.709091,0.76,0.5,0.4,24,9817,0.37538,0.13985,0.22174,90.3278,0.8127,1.512,1.8442,34375,0.958333333,34,0.13912,0.086868028,1.441330386
scalpel,household items,nonliving,0.4,NA,0.466666667,0.2,9,4088,0.11337,0.13972,0.22149,90.2396,1.3979,2.206,1.8031,2,0.541666667,29,0.16899,0.086130289,1.629278232
scanner,electronics,nonliving,0.4,0.384615,0.166666667,0.133333333,3,6767,0.40454,0.1396,0.2212,90.1693,1.0868,1.8351,1.7451,2137,0.125,45,0.14167,0.104404038,1.881538408
scarf,clothing,nonliving,0.327273,0.423077,0.222222222,0.093023256,4,10811,0.66351,0.13979,0.22152,90.2008,0.75534,1.5574,1.81,3579,0.958333333,42,0.17206,0.101367185,2.167151013
schoolbus,vehicle,nonliving,0.622222,0.641026,0.518518519,0.259259259,12,11722,0.43169,0.13974,0.22157,90.19,0.89734,1.2645,1.9967,34,0.958333333,38,0.14294,0.066698013,1.297951027
scissors,office tool,nonliving,0.306122,0.428571,0.444444444,0.296296296,12,8537,0.26943,0.13965,0.22147,90.1323,1.0347,1.4601,1.7921,1876,0.96,51,0.14269,0.073875123,1.360832121
scoop,household items,nonliving,0.586207,0.555556,0.357142857,0.1875,21,7241,0.33362,0.13957,0.22133,90.1073,1.1717,1.8576,1.6538,1612,0.739130435,31,0.11992,0.065068534,1.823449175
scooter,vehicle,nonliving,0.177778,0.568182,0.423076923,0.105263158,9,8461,0.27108,0.13952,0.22121,90.0515,1.239,1.7254,1.8689,928,0.958333333,46,0.13919,0.069160559,1.315701168
scorpion,insect,living,0.9,0.928571,0.407407407,0.620689655,11,8089,0.2056,0.1394,0.221,89.9696,1.0388,1.7201,2.0837,512,0.8,34,0.19654,0.136338348,2.384324527
scotch tape,office tool,nonliving,0.413793,0.428571,0.444444444,0.26,3,8336,0.67647,0.13948,0.22112,89.9822,0.93848,1.7071,1.9173,103,0.958333333,35,0.17843,0.127814172,1.571544731
scraper,tool,nonliving,0.444444,NA,0.483870968,0.3,6,4452,0.23147,0.1394,0.22093,89.9281,1.2435,2.0287,1.912,302,0.590909091,29,0.16394,0.070437481,1.282855355
screen,furniture,nonliving,0.464286,0.535714,0.392857143,0.28,7,10629,0.63892,0.13981,0.22106,89.9615,0.72626,1.5346,1.5536,30758,0.041666667,48,0.12617,0.086846237,1.497475653
screw,tool,nonliving,0.462963,0.384615,0.30952381,0.288888889,6,6017,0.18838,0.1397,0.22084,89.8869,1.3856,2.1662,2.4986,2780,0.875,40,0.15351,0.095826642,1.895003467
screwdriver,tool,nonliving,0.4,0.407407,0.428571429,0.379310345,7,4271,0.1071,0.13957,0.2206,89.7897,1.3123,1.8724,1.7949,833,1,30,0.13035,0.063431726,1.887588146
scroll,decorative,nonliving,0.464286,0.407407,0.444444444,0.12244898,26,17617,0.80121,0.13953,0.22103,89.8957,1.2462,1.8102,2.3013,1441,0.608695652,37,0.15575,0.100382858,1.607718738
scythe,tool,nonliving,0.485714,NA,0.413793103,0.22,19,4743,0.1131,0.13939,0.22085,89.8096,1.3145,1.9753,2.225,245,0.041666667,32,0.15747,0.078552297,1.055825886
seagull,birds,living,0.767857,0.615385,0.604651163,0.666666667,5,6640,0.34437,0.13946,0.22072,89.7756,1.0583,1.7363,2.2979,460,0.75,27,0.18351,0.088850548,2.099330654
seahorse,sea,living,0.94,0.962963,0.428571429,0.275862069,7,8053,0.30479,0.13936,0.22063,89.7349,1.1445,1.8418,2.3321,220,1,41,0.16874,0.099388345,2.039443802
seal,mammal,living,0.789474,0.703704,0.476190476,0.488888889,3,10365,0.50846,0.13929,0.22077,89.7331,1.0229,1.2443,1.9543,6543,0.791666667,45,0.17077,0.07560939,1.819350618
seashell,sea,living,0.542857,NA,0.857142857,0.125,23,16594,0.79169,0.13925,0.22097,89.8505,1.1484,1.5228,2.1641,12957,1,65,0.16088,0.092886111,1.955602435
seatbelt,tool,nonliving,0.32,0.558824,0.214285714,0.333333333,6,10517,0.34536,0.13916,0.22072,89.7847,0.83216,1.7232,1.8419,311,0.958333333,45,0.16015,0.119010715,2.422850319
sedan,vehicle,nonliving,0.310345,0.592593,0.392857143,0.3,13,7183,0.26893,0.13917,0.22054,89.7318,1.099,1.4076,1.9997,2873,0.291666667,34,0.16581,0.085581383,1.842065485
sewing machine,appliances,nonliving,0.444444,NA,0.741935484,0.448979592,10,10330,0.69104,0.13917,0.22048,89.7745,0.87688,1.5535,1.6064,442,1,47,0.13036,0.091044059,1.886963804
shaker,kitchen items,nonliving,0.611111,0.333333,0.512195122,0.136363636,6,13223,0.67368,0.13913,0.22089,89.8349,0.81239,1.3098,1.7539,724,0.583333333,39,0.13246,0.092061805,1.991605271
shark,sea,living,0.758621,0.592593,0.892857143,0.612244898,9,6131,0.23366,0.13908,0.22082,89.7788,1.0069,1.6858,1.9602,6164,0.92,34,0.17217,0.081490122,1.472684326
shear,tool,nonliving,0.222222,NA,0.310344828,0.166666667,8,8449,0.42273,0.13905,0.22078,89.7795,0.93995,1.5213,1.5855,1876,0.208333333,34,0.20066,0.113544521,1.649250158
sheep,mammal,living,0.795455,0.833333,0.52,0.339622642,9,13950,0.57602,0.139,0.22087,89.7872,0.92413,1.4311,2.0227,6320,0.916666667,42,0.16061,0.079569995,2.554281548
shelf,furniture,nonliving,0.477273,0.577778,0.653846154,0.210526316,13,6566,0.30417,0.13892,0.22082,89.7579,0.94044,1.7265,2.3605,10741,0.833333333,56,0.15541,0.117808247,1.999934084
shield,decorative,nonliving,0.4,0.392857,0.285714286,0.14,7,14307,0.6144,0.13895,0.2211,89.7804,0.85666,1.2568,1.6837,3370,0.625,52,0.13662,0.090663506,2.082194858
shirt,clothing,nonliving,0.5,0.448276,NA,0.083333333,50,20074,0.98868,0.13934,0.22104,89.8103,0.73158,1.4352,1.9095,21486,0.625,31,0.14641,0.09055571,2.444484189
shoelace,clothing,nonliving,0.387755,0.333333,0.266666667,0.114285714,9,6254,0.21144,0.13926,0.22083,89.7386,1.2087,1.9767,2.1795,328,0.708333333,47,0.1338,0.087901536,1.627005751
